Site and link	Questions	Answers	Category	Comments
	How can I contact the Computer Vision and Machine Perception Lab?	You can contact the lab via email at cvmp@utn.de.	UTN Information	
	What are some key publications from the lab?	Key publications include "latentSplat: Autoencoding Variational Gaussians for Fast Generalizable 3D Reconstruction" (ECCV 2024) and "Neural Point Cloud Diffusion for Disentangled 3D Shape and Appearance Generation" (CVPR 2024). For more, visit: https://www.utn.de/en/departments/department-engineering/cvmp-lab/cvmp-publications/.	UTN Information	
	Where can I learn more about Prof. Dr. Eddy Ilg's work?	You can find Prof. Dr. Eddy Ilg's publications on Google Scholar (https://scholar.google.com/citations?user=MYvSvGsAAAAJ&hl=de) and dblp (https://dblp.org/pid/151/9307.html).	UTN Information	
				
MFM lab				
	What is the primary focus of the Fundamental AI Lab?	The primary focus of the Fundamental AI Lab is to pioneer core technologies for the next generation of foundation models, with an emphasis on self-supervised learning, vision-language and multimodal learning, and reasoning and planning in large language models (LLMs).	UTN Information	
	Who leads the Fundamental AI Lab?	The Fundamental AI Lab is led by Prof. Dr. Yuki Asano, a Professor for Fundamental AI.	UTN Information	
	What are the key research areas of the Fundamental AI Lab?	The key research areas of the lab include self-supervised learning, vision-language and multimodal learning, and advancing reasoning and planning in large language models (LLMs).	UTN Information	
	What is self-supervised learning, and why is it important?	Self-supervised learning allows models to learn from unstructured data, such as raw videos, without the need for manual labeling. This significantly enhances scalability and reduces dependency on labeled datasets.	UTN Information	
	What is vision-language and multimodal learning?	Vision-language and multimodal learning enable AI models to integrate and process both visual and textual information seamlessly, allowing for more comprehensive understanding and interaction.	UTN Information	
	How does the lab aim to improve reasoning and planning in AI models?	The lab aims to improve reasoning and planning in AI models by developing advanced techniques that equip AI systems with sophisticated logical thinking and decision-making abilities.	UTN Information	
	Where can I find the latest news and updates about the Fundamental AI Lab?	The latest news and updates about the Fundamental AI Lab can be found on their GitHub page: https://fundamentalailab.github.io/.	UTN Information	
	What are some notable publications from the Fundamental AI Lab?	Notable publications from the lab include "Is ImageNet worth 1 video? Learning strong image encoders from 1 long unlabelled video," "VeRA: Vector-based Random Matrix Adaptation," and "SIGMA: Sinkhorn-Guided Masked Video Modeling." For more, visit: https://fundamentalailab.github.io/publications/.	UTN Information	
	Where can I find Prof. Dr. Yuki Asano's publications?	Prof. Dr. Yuki Asano's publications can be found on Google Scholar (https://scholar.google.co.uk/citations?hl=en&user=CdpLhlgAAAAJ) and dblp (https://dblp.org/pid/239/8823.html).	UTN Information	
	How can I contact the Fundamental AI Lab?	You can contact the Fundamental AI Lab via email at yuki.asano@utn.de.	UTN Information	
			UTN Information	
NLU lab				
	What is the primary focus of the Natural Language Understanding Lab?	The primary focus of the Natural Language Understanding Lab is to research reliable and intelligible models capable of automatically understanding language. This includes addressing challenges like ambiguity, implicitness, and the interplay of linguistic meaning and background knowledge.	UTN Information	
	Who leads the Natural Language Understanding Lab?	The Natural Language Understanding Lab is led by Prof. Dr. Michael Roth, a Professor of Natural Language Understanding.	UTN Information	
	What are the key research areas of the Natural Language Understanding Lab?	The key research areas of the lab include understanding linguistic meaning and background knowledge, resolving ambiguities, and addressing challenges like implicitness in language. The lab also focuses on diversity and inclusion in language models.	UTN Information	
	How does the lab address challenges like ambiguity and implicitness in language?	The lab addresses challenges like ambiguity and implicitness by developing models that infer implicit information from context and background knowledge, resolve ambiguities, and ask targeted clarification questions when necessary.	UTN Information	
	What is the lab's approach to diversity and inclusion in language models?	The lab emphasizes diversity and inclusion by ensuring that differences in knowledge and communication needs are explicitly considered. This allows future models to represent diverse parts of society and be equally usable for different user groups.	UTN Information	
	What are some socially relevant tasks the lab investigates?	The lab investigates socially relevant tasks such as the linguistic causes of misunderstandings, adapting texts to specific target groups, and understanding the influence of sociocultural factors and individual preferences on language use and comprehension.	UTN Information	
	What are the current research projects in the Natural Language Understanding Lab?	Current research projects include "Modeling linguistic causes of misunderstandings" and "Dynamics of polarization on online platforms." More details can be found here: https://gepris.dfg.de/gepris/projekt/411013080 and https://www.iris.uni-stuttgart.de/research/dynamics_of_polarization/.	UTN Information	
	What are some completed research projects from the lab?	A completed research project from the lab is "Text-based extraction of implicit relations." More details can be found here: https://gepris.dfg.de/gepris/projekt/270126209.	UTN Information	
	Where can I find Prof. Dr. Michael Roth's publications?	Prof. Dr. Michael Roth's publications can be found on Google Scholar: https://scholar.google.com/citations?user=S3CWZT8AAAAJ&hl=en.	UTN Information	
	How can I contact the Natural Language Understanding Lab?	You can contact the Natural Language Understanding Lab via email at nlu@utn.de.	UTN Information	
			UTN Information	
NLP lab				
	What is the primary focus of the Natural Language Learning and Generation Lab (NLLG)?	The primary focus of the Natural Language Learning and Generation Lab (NLLG) is to address a broad range of topics in Natural Language Processing (NLP) using machine learning and AI approaches. This includes text classification, machine translation, summarization, and their evaluation, with a special focus on generative AI approaches and their evaluation.	UTN Information	
	Who leads the Natural Language Learning and Generation Lab?	The Natural Language Learning and Generation Lab is led by Prof. Dr. Steffen Eger, a Professor of Natural Language Learning and Generation.	UTN Information	
	What are the key research areas of the NLLG Lab?	The key research areas of the NLLG Lab include evaluation methods and metrics for natural language generation, multimodal text-to-image generation models, machine translation and text generation for literature and poetry, automatic generation and analysis of arguments, and social scientific analysis in diachronic and multilingual political corpora.	UTN Information	
	What are some examples of interdisciplinary applications of the lab's research?	The lab's research is applied in interdisciplinary contexts, such as collaborations with (digital) humanities researchers and social scientists. Examples include analyzing solidarity with refugees and women in political corpora and generating arguments with constraints on emotionality and convincingness.	UTN Information	
	What are the current research projects in the NLLG Lab?	Current research projects include "HistoBias" (investigating social biases over time and across languages), "Metrics4NLG" (developing robust evaluation metrics for text generation), "Cross-lingual Cross-temporal Evaluation in NLP and the Digital Humanities" (interdisciplinary research activities), and "EMCONA" (exploring the interplay between emotions and convincingness in argumentation). For more details, visit: https://nl2g.github.io/.	UTN Information	
	What are some completed research projects from the NLLG Lab?	Completed research projects include "Eval4NLP workshop funding" (explainable evaluation metrics shared task) and "Doubly annotated Corpora" (metaphor annotation in historical German corpora).	UTN Information	
	Where can I find Prof. Dr. Steffen Eger's publications?	Prof. Dr. Steffen Eger's publications can be found on Google Scholar (https://scholar.google.com/citations?user=TnuqAW0AAAAJ&oi=ao) and dblp (https://dblp.org/pid/69/9271.html).	UTN Information	
	How can I contact the Natural Language Learning and Generation Lab?	You can contact the Natural Language Learning and Generation Lab via email at nllg@utn.de.	UTN Information	
				
Research and Transfer Service				
				
	What is the Research and Transfer Service at UTN?	The Research and Transfer Service at UTN provides support to researchers during all career phases, helping them with third-party funding applications, project management, and fostering collaborations with industry, society, and politics.	UTN Information	
	What services does the Research and Transfer Service provide?	The services include preparation and application for third-party-funded projects, project management, strategic networking, counseling, coaching, mentoring, training, and internal research support measures like the UTN Research and Transfer Fund.	UTN Information	
	How does the Research and Transfer Service support researchers?	The Research and Transfer Service supports researchers by assisting with funding applications, managing approved projects, organizing networking events, and providing career development opportunities like mentoring and training.	UTN Information	
	What are the goals of the Research and Transfer Service?	The goals of the Research and Transfer Service are to enhance researchers' expertise, advance their careers, improve the visibility and reputation of UTN, and foster networking and mobility.	UTN Information	
	How can I contact the Research Services Team?	You can contact the Research Services Team via email at research-service@utn.de.	UTN Information	
	How can I contact the Transfer Services Team?	You can contact the Transfer Services Team via email at transfer-service@utn.de.	UTN Information	
	What is the UTN Research and Transfer Fund?	The UTN Research and Transfer Fund is an internal support measure that provides funding for research and transfer activities at UTN.	UTN Information	
	Where can I find more information about the Research and Transfer Service?	For more information about the Research and Transfer Service, visit the official UTN website: https://www.utn.de/en/research/research-and-transfer-service/.	UTN Information	
	What are the guiding principles of the Research and Transfer Service?	The guiding principles of the Research and Transfer Service are internationality, interdisciplinarity, digitality, and sustainability.	UTN Information	
	How does the Research and Transfer Service promote networking and collaboration?	The Research and Transfer Service promotes networking and collaboration by organizing events, facilitating exchanges, and initiating partnerships with businesses, society, culture, and politics.	UTN Information	
				
Doctoral Research				
	What is the process for applying to a doctoral program at UTN?	To apply for a doctoral program at UTN, you need to send an email to stars@utn.de with the required documents, including a personal statement, CV, degree certificates, and transcripts. For more details, visit: https://www.utn.de/en/research/doctoral-degree/.	Study Regulations	
	What documents are required to apply for a doctoral program at UTN?	The required documents include a personal statement, a copy of your identity card or passport, a CV in English, a certificate of your highest university degree, and a transcript of records.	Study Regulations	
	What are the admission requirements for a doctoral program at UTN?	Admission requirements include a completed master’s degree (or equivalent) with outstanding success, an affirmative vote from the selection committee, and excellent English language skills.	Study Regulations	
	What degrees are awarded for doctoral research at UTN?	UTN awards the following doctoral degrees: Doctor of Engineering (Dr.-Ing.), Doctor of Natural Sciences (Dr. rer. nat.), and Doctor of Humanities and Social Sciences (Dr. phil.).	Study Regulations	
	How long does it take to complete a doctoral degree at UTN?	The doctoral program is designed to be completed within three years, with an optional one-year extension in special cases.	Study Regulations	
	What is the role of the UTN School of StaRs in the doctoral process?	The UTN School of StaRs guides doctoral researchers through milestones like the proposal defense, annual progress reviews, and dissertation submission.	Study Regulations	
	What is the proposal phase in the doctoral program?	The proposal phase involves submitting a dissertation proposal, forming a proposal committee, and defending the proposal within one year of admission.	Study Regulations	
	What is the timeline for the proposal phase?	Within one month of admission, you must suggest proposal committee members. Within six months, submit the Doctoral Agreement. Within one year, defend your proposal.	Study Regulations	
	What happens during the proposal defense?	During the proposal defense, you present your research plan and engage in a discussion with the committee. The committee evaluates your proposal and votes on its continuation.	Study Regulations	
	What happens if I fail the proposal defense?	If you fail the proposal defense, you have one additional attempt. Your admission can be extended by one year upon request.	Study Regulations	
	What is the research phase in the doctoral program?	The research phase involves conducting original research, working closely with your advisor, and completing annual progress reviews.	Study Regulations	
	What are the annual progress reviews during the research phase?	Annual progress reviews are conducted with your advisor and dissertation committee to assess your progress and provide constructive feedback.	Study Regulations	
	What are the publication requirements for a traditional dissertation?	For a traditional dissertation, you need at least two scientific publications or seminar papers with outstanding grades.	Study Regulations	
	What is a cumulative dissertation?	A cumulative dissertation consists of three or four published articles instead of a single manuscript.	Study Regulations	
	What documents are required to submit a dissertation?	Required documents for submission include a statement of independent work, a declaration of originality, evidence of publications, and annual progress reviews.	Study Regulations	
	What is the review process for a dissertation?	The review process involves two expert reviewers assessing your dissertation. They have two months to submit their reviews.	Study Regulations	
	What is the display period for a dissertation?	The display period is a two-week period where your dissertation is made available for review by UTN staff.	Study Regulations	
	What happens during the dissertation defense?	The dissertation defense includes a 20-minute presentation and a closed-door discussion with the defense committee.	Study Regulations	
	What is the role of the defense committee?	The defense committee evaluates your dissertation and decides on the outcome of the defense.	Study Regulations	
	How long do I have to publish my dissertation after the defense?	You must publish your dissertation within two years of passing the defense, preferably within 3-6 months.	Study Regulations	
	What are the English language requirements for doctoral applicants?	Applicants must have excellent written and oral English skills, though no specific test scores (e.g., IELTS or TOEFL) are required.	Study Regulations	
	Can I apply with my own research idea for a doctoral program?	Yes, you can apply with your own research idea. Contact your preferred advisor before submitting your application.	Study Regulations	
	How can I contact the UTN School of StaRs for more information?	You can contact the UTN School of StaRs via email at stars@utn.de.	Study Regulations	
	What is the Doctoral Agreement, and when is it submitted?	The Doctoral Agreement outlines your research plan and coursework. It must be submitted within six months of admission.	Study Regulations	
	What is the role of the dissertation committee?	The dissertation committee includes your advisor, two experts in your field, and one person from another field. They guide and evaluate your research.	Study Regulations	
	What is the difference between a traditional and a cumulative dissertation?	A traditional dissertation is a single manuscript, while a cumulative dissertation consists of multiple published articles.	Study Regulations	
	What happens if my dissertation receives a negative review?	If your dissertation receives a negative review, you may need to revise and resubmit it based on the feedback provided.	Study Regulations	
	What support does UTN provide during the doctoral program?	UTN provides support through courses, mentoring, and access to resources like the UTN Research and Transfer Fund.	Study Regulations	
	What are the milestones for completing a doctoral degree at UTN?	Milestones include admission, proposal defense, annual progress reviews, dissertation submission, and defense.	Study Regulations	
	Where can I find the doctoral degree regulations?	The doctoral degree regulations can be found here: https://www.utn.de/files/2024/12/230401_Promotionsordnung_L0.pdf.	Study Regulations	
	What is the process for forming a proposal committee?	Within one month of admission, you must suggest members for your proposal committee, including your main advisor, two experts in your field, and one person from another field.	Study Regulations	
	What is the role of the selection committee in the admission process?	The selection committee reviews your application, conducts an interview, and votes on your admission to the doctoral program.	Study Regulations	
	What is the significance of the Doctoral Agreement?	The Doctoral Agreement formalizes your research plan and coursework, ensuring alignment with the doctoral program requirements.	Study Regulations	
	What is the process for submitting a dissertation?	You must submit your dissertation electronically through the campus management system, along with required documents like a statement of originality and annual progress reviews.	Study Regulations	
	What is the role of the UTN library in the publication process?	The UTN library facilitates the publication of your dissertation by accepting digital versions or signed publishing contracts.	Study Regulations	
	What is the significance of the display period for a dissertation?	The display period allows UTN staff to review your dissertation and raise any objections before it is officially accepted.	Study Regulations	
	What is the process for appointing reviewers for a dissertation?	The UTN School of StaRs appoints two expert reviewers from the dissertation committee to assess your dissertation.	Study Regulations	
	What is the role of the defense committee during the dissertation defense?	The defense committee evaluates your dissertation and conducts the defense, ensuring the quality and originality of your research.	Study Regulations	
	What is the process for publishing a dissertation after the defense?	You must publish your dissertation within two years of passing the defense, either through the UTN library or a publishing contract.	Study Regulations	
	What are the consequences of not publishing the dissertation within the required time?	Failure to publish within two years may result in the revocation of your doctoral degree.	Study Regulations	
				
Agile team				
				
	What is the AgileTeams@UTN funding program?	The AgileTeams@UTN funding program is an initiative that supports internal, interdisciplinary research projects across UTN labs. It provides funding for two doctoral positions for a period of 3+1 years to foster collaboration between researchers from different disciplines.	UTN Information	
	What is the goal of the AgileTeams@UTN program	The goal of the program is to systematically incentivize interdisciplinary research, connect researchers from different fields, and support the initiation of collaborative projects that contribute to UTN’s research profile.	UTN Information	
	What kind of support does AgileTeams@UTN provide?	The program provides funding for two doctoral positions for 3+1 years, enabling the establishment of interdisciplinary research teams and innovative activity fields at UTN.	UTN Information	
	Who is eligible to apply for AgileTeams@UTN funding?	Every professor at UTN is eligible to apply for AgileTeams@UTN funding.	UTN Information	
	What is the selection process for AgileTeams@UTN?	The selection process is a two-stage procedure:         Stage 1: Submission of a project outline.         Stage 2: A project pitch in front of a selection panel headed by the Vice President for Research, Innovation, and Entrepreneurship.	UTN Information	
	What are the assessment criteria for AgileTeams@UTN projects?	The assessment criteria include:         A clearly defined interdisciplinary project that contributes to UTN’s profile.         Creative ideas for the development of doctoral candidates.         A concept for cooperation and task distribution between professors.         A proposal for developing the project into a larger collaborative project.         Appropriate in-kind contributions.	UTN Information	
	How long is the funding period for AgileTeams@UTN?	The funding period is 3+1 years, providing support for two doctoral positions during this time.	UTN Information	
	What is the structure of an AgileTeam?	Each AgileTeam consists of one professor from different departments, collaborating on an interdisciplinary research project.	UTN Information	
	What is the role of the Vice President for Research, Innovation, and Entrepreneurship in the selection process?	The Vice President heads the selection panel that evaluates project pitches and decides on funding allocations.	UTN Information	
	What happens at the end of an AgileTeams@UTN project?	At the end of the project, the results and findings are presented and discussed at a symposium. Additionally, an outline for a larger collaborative project is developed within six months.	UTN Information	
	What is the purpose of the symposium at the end of the project?	The symposium provides an opportunity for participants to exchange ideas, discuss research findings, and highlight the impact of the project.	UTN Information	
	What is required instead of a traditional final report for AgileTeams@UTN projects?	Instead of a traditional final report, an initial outline for a larger collaborative project must be developed within six months of the project’s conclusion.	UTN Information	
	How does AgileTeams@UTN contribute to the UTN’s profile?	By funding interdisciplinary research projects, AgileTeams@UTN helps establish innovative activity fields and strengthens UTN’s research profile.	UTN Information	
	What are the benefits of AgileTeams@UTN for early career researchers?	The program provides early career researchers with innovative support structures, interdisciplinary collaboration opportunities, and funding for doctoral positions.	UTN Information	
	How can I contact the Research and Transfer Services Team for more information?	You can contact the Research and Transfer Services Team via email at research-service@utn.de.	UTN Information	
Legal Document: https://www.utn.de/files/2024/12/241022_Grundordnung_L-4.pdf 				
	How are committees and appointment commissions gathered and led?	As stated on Grundordnung der Technischen Universität Nürnberg, committees and appointment commissions/appointment committees shall be convened and chaired by their respective chairperson.	Study Regulations	
	Under what conditions must committees and appointment commissions gather?	they are obliged to convene at the request of the Founding Presidium or at the request of one-third of the members.	Study Regulations	
	How are members invited to participate in committee meetings?	members shall be invited to meetings electronically in text form, with the agenda attached.	Study Regulations	
	What is the minimum notice period required for committee meetings?	the notice period for committee meetings shall be at least one week.	Study Regulations	
	Can the notice period for committee meetings be shortened, and if so, under what conditions?	in justified exceptional cases the notice period may be shortened by the chairperson, provided that the shortened notice period is justified in the invitation.	Study Regulations	
	How are decisions made by committees and appointment commissions?	Committees and appointment commissions make their decisions during meetings.	Study Regulations	
	Under what condition can decisions be taken by secret ballot?	Decisions may be taken by secret ballot at the request of one-third of the members.	Study Regulations	
	When can a written decision be made instead of holding a meeting?	In exceptional cases and upon the proposal of the chairperson, a written decision may be made if less than one-third of the members object.	Study Regulations	
	Who is responsible for justifying the decision to use a written decision?	The chairperson must justify the decision to use a written decision.	Study Regulations	
	Can meetings be held as video conferences?	A meeting can be conducted as a video conference at the proposal of the chairperson, provided that secure data transmission is ensured, data protection regulations are observed, and it is guaranteed that the participation of connected members is not affected.	Study Regulations	
	 Can committee members propose items for the agenda?	Yes, committee members may submit proposals for agenda items.	Study Regulations	
	How is the agenda for committee meetings determined?	The agenda is determined by the chairperson.	Study Regulations	
	In what form must proposals for agenda items be submitted, and what must they include?	Proposals for agenda items must be submitted in text form and should include a justification.	Study Regulations	
	What is the procedure if the chairperson does not dismiss an agenda amendment proposal?	If the chairperson does not dismiss the proposed amendment, the committee will decide on it by a simple majority.	Study Regulations	
	Are committee meetings held in public?	Committees and appointment commissions/appointment committees do not meet publicly.	Study Regulations	
	Under what circumstances may the public be admitted to committee meetings?	The public may be admitted in individual cases, except in personnel or examination matters.	Study Regulations	
	Who decides whether members of the public can attend a committee meeting?	The decision to admit members of the public is made by the committee in a non-public meeting.	Study Regulations	
	 What does it mean for a committee meeting to have a quorum?	Committees and appointment commissions/appointment committees have a quorum when all members have been properly invited and a sufficient number of eligible voting members are present—in appointment committees, this means at least two-thirds of the eligible voting members.	Study Regulations	
	Are participants joining via video conference included when determining if a quorum is met?	Yes, members who participate via video conference are considered present for the purpose of meeting the quorum requirements.	Study Regulations	
	How are decisions reached by committees and appointment commissions through voting?	Committees and appointment commissions decide by a majority of the votes that are cast.	Study Regulations	
	What voting weight does each member hold?	Each member is entitled to one vote.	Study Regulations	
	Are members allowed to transfer their voting rights to someone else?	No, voting rights cannot be transferred.	Study Regulations	
	Do abstentions count as a vote in the decision-making process?	Abstentions are not counted as votes cast	Study Regulations	
	How is a tie resolved during a vote?	In the event of a tie, the vote of the chairperson is decisive, except in appointment commissions.	Study Regulations	
	Is there any special voting power granted to the chairperson in any committee?	Yes, in the steering committee of the UTN School of Students and Young Researchers, the chairperson has a veto right.	Study Regulations	
	How must the meetings of committees and appointment commissions be documented?	All meetings must be documented no later than four weeks after the meeting takes place.	Study Regulations	
	In what manner should resolutions and voting outcomes be recorded during meetings?	Resolutions and voting results must be recorded separately, ensuring each decision is clearly documented.	Study Regulations	
	When should the meeting minutes be made available to the members?	The minutes must be made accessible to all members before the next meeting.	Study Regulations	
	How are the meeting minutes approved after they are made available?	If no member objects to the minutes before the next meeting, they are considered approved.	Study Regulations	
	What is the effect of these provisions on the existing appointment procedure regulations?	The regulations regarding the appointment procedure remain unaffected.	Study Regulations	
	How is the university organized in terms of its departments?	The university is structured into the Departments of Computer Science & Artificial Intelligence and Liberal Arts & Social Sciences.	Study Regulations	
	Who is responsible for leading the department?	The leadership of the department is vested in the Founding Chair	Study Regulations	
	Who represents the Founding Chair in their absence?	The representation of the Founding Chair is entrusted to the Vice-Chair	Study Regulations	
	How is the representative for gender equality in science and art at the university elected?	The representative for gender equality in science and art at Technische Universität Nürnberg is elected by the Founding Commission from among the full-time academic and artistic staff of the university.	Study Regulations	
	Must there be a deputy representative for gender equality?	Yes, at least one deputy representative must be elected.	Study Regulations	
	What is the term length for the gender equality representative and their deputy?	The term length corresponds to that of the elected members of the Founding Commission, with a duration of one year.	Study Regulations	
	Can the representative for gender equality be re-elected?	Yes, re-election is permitted.	Study Regulations	
	What happens if the representative for gender equality resigns or cannot continue their duties?	If the representative resigns or cannot continue due to an important reason, the deputy representative takes over according to the election results.	Study Regulations	
	When does the Grundordnung (Basic Regulations) officially take effect?	The Grundordnung takes effect on the day following its official announcement.	Study Regulations	
rephrasing - UNI FAQ				
	Is it possible for me to enroll in the program if I am not physically present on campus in Nuremberg?	The program entails full-time studies and necessitates physical attendance in Nuremberg.	Study Regulations	
	Am I eligible to join the program if I am based off-site and not located in Nuremberg?	The program entails full-time studies and necessitates physical attendance in Nuremberg.	Study Regulations	
	Can I take part in the program remotely even if I'm not in Nuremberg?	The program entails full-time studies and necessitates physical attendance in Nuremberg.	Study Regulations	
	Do I need to be in Nuremberg to participate in the program, or can I join from another location?	The program entails full-time studies and necessitates physical attendance in Nuremberg.	Study Regulations	
	Does every applicant have to go through a selection interview?	No, if you score 90 or more out of 100, you will be directly admitted to the program. If you score between 70 and 89 points, you will be invited to a selection interview. However, if you score 69 or fewer points, your application will be rejected and you will not be granted admission.	Study Regulations	
	Is a selection interview mandatory for all candidates?	No, if you score 90 or more out of 100, you will be directly admitted to the program. If you score between 70 and 89 points, you will be invited to a selection interview. However, if you score 69 or fewer points, your application will be rejected and you will not be granted admission.	Study Regulations	
	Are all applicants required to attend a selection interview?	No, if you score 90 or more out of 100, you will be directly admitted to the program. If you score between 70 and 89 points, you will be invited to a selection interview. However, if you score 69 or fewer points, your application will be rejected and you will not be granted admission.	Study Regulations	
	Will every candidate undergo a selection interview as part of the admission process?	No, if you score 90 or more out of 100, you will be directly admitted to the program. If you score between 70 and 89 points, you will be invited to a selection interview. However, if you score 69 or fewer points, your application will be rejected and you will not be granted admission.	Study Regulations	
	When is it necessary for me to provide proof of my English skills?	The required English language skills must already be available when you apply to study. You can find out which documents you need to present here (link to Suitability Certificate/ASPO). As soon as you arrive in Nuremberg, you can present your original documents to us at Student Services during Welcome Week.	Study Regulations	
	When do I need to show that I meet the required English language standards? 	The required English language skills must already be available when you apply to study. You can find out which documents you need to present here (link to Suitability Certificate/ASPO). As soon as you arrive in Nuremberg, you can present your original documents to us at Student Services during Welcome Week.	Study Regulations	
	What are the English level requirements and when do I present them?	The required English language skills must already be available when you apply to study. You can find out which documents you need to present here (link to Suitability Certificate/ASPO). As soon as you arrive in Nuremberg, you can present your original documents to us at Student Services during Welcome Week.	Study Regulations	
	Should I send my English language certificate directly to the program, or should it be submitted to a third-party organization?	No. Please upload all your documents to UTNexus. We will disregard any documents sent by post.	Study Regulations	
	Am I required to submit my English language certificate directly to the program, or do I need to send it through a third-party organization?	No. Please upload all your documents to UTNexus. We will disregard any documents sent by post.	Study Regulations	
	Do I need to send my English language certificate straight to the program?	No. Please upload all your documents to UTNexus. We will disregard any documents sent by post.	Study Regulations	
	Do I need to present or demonstrate basic German language skills or provide a German language proficiency certificate with my application?	We request that you provide proof of your German language proficiency (Level A2) or a university entrance qualification from a German-speaking school or educational institution no later than the start of your fourth semester, which coincides with the beginning of your master thesis. While our program is exclusively taught and evaluated in English, we believe that learning some basic German can greatly enhance your experience as a student. If a language test is already submitted for the application or enrollment, it must not be older than two years.	Study Regulations	
	Is it required to show some knowledge of German or submit a German language proficiency certificate for my application?	We request that you provide proof of your German language proficiency (Level A2) or a university entrance qualification from a German-speaking school or educational institution no later than the start of your fourth semester, which coincides with the beginning of your master thesis. While our program is exclusively taught and evaluated in English, we believe that learning some basic German can greatly enhance your experience as a student. If a language test is already submitted for the application or enrollment, it must not be older than two years.	Study Regulations	
	Am I expected to have basic German or a German language certificate as part of my application?	We request that you provide proof of your German language proficiency (Level A2) or a university entrance qualification from a German-speaking school or educational institution no later than the start of your fourth semester, which coincides with the beginning of your master thesis. While our program is exclusively taught and evaluated in English, we believe that learning some basic German can greatly enhance your experience as a student. If a language test is already submitted for the application or enrollment, it must not be older than two years.	Study Regulations	
	Must I provide proof of German language proficiency, such as a certificate, when applying?	We request that you provide proof of your German language proficiency (Level A2) or a university entrance qualification from a German-speaking school or educational institution no later than the start of your fourth semester, which coincides with the beginning of your master thesis. While our program is exclusively taught and evaluated in English, we believe that learning some basic German can greatly enhance your experience as a student. If a language test is already submitted for the application or enrollment, it must not be older than two years.	Study Regulations	
	What should I do if my bachelor's certificate is not available when I apply?	In the event that your degree certificate is not yet obtainable, we understand your situation and offer flexibility. You are welcome to submit your certificate up to 5 weeks after the start of the semester.	Study Regulations	
	How should I proceed if I haven't received my bachelor's certificate by the time of application?	In the event that your degree certificate is not yet obtainable, we understand your situation and offer flexibility. You are welcome to submit your certificate up to 5 weeks after the start of the semester.	Study Regulations	
	What steps should I take if my bachelor's certificate is still pending at the time of applying?	In the event that your degree certificate is not yet obtainable, we understand your situation and offer flexibility. You are welcome to submit your certificate up to 5 weeks after the start of the semester.	Study Regulations	
	If my bachelor's certificate is not ready during the application process, what should I do?	In the event that your degree certificate is not yet obtainable, we understand your situation and offer flexibility. You are welcome to submit your certificate up to 5 weeks after the start of the semester.	Study Regulations	
	Is it possible to submit my documents after the application deadline has passed?	No. We do not accept any late submissions.	Study Regulations	
	Am I allowed to send in my documents if I've missed the application deadline?	No. We do not accept any late submissions.	Study Regulations	
	I missed my application deadline. Can i still send my documents by post?	No. We do not accept any late submissions.	Study Regulations	
	What are my options if I missed the application deadlie, can I still submit my documents?	No. We do not accept any late submissions.	Study Regulations	
	What housing options are available for students relocating to a new city?	Students moving to a new city can choose from various accommodation options, including student dormitories, shared apartments (WGs), private apartments, subleases, and temporary rentals. Each option offers different advantages depending on budget, lifestyle preferences, and availability. Student dormitories are affordable and provide an opportunity to quickly connect with other students, while shared apartments allow for communal living at a lower cost. Private apartments offer more independence but are usually more expensive. Subleases are ideal for short-term stays, especially for students who are still exploring the city. Temporary housing is a flexible option for those who have not yet secured permanent accommodation.	Life in Germany/Nuremberg	
	What types of accommodation can students choose from when moving to a new city?	Students moving to a new city can choose from various accommodation options, including student dormitories, shared apartments (WGs), private apartments, subleases, and temporary rentals. Each option offers different advantages depending on budget, lifestyle preferences, and availability. Student dormitories are affordable and provide an opportunity to quickly connect with other students, while shared apartments allow for communal living at a lower cost. Private apartments offer more independence but are usually more expensive. Subleases are ideal for short-term stays, especially for students who are still exploring the city. Temporary housing is a flexible option for those who have not yet secured permanent accommodation.	Life in Germany/Nuremberg	
	What are the different living arrangements offered to students who are moving to a new city?	Students moving to a new city can choose from various accommodation options, including student dormitories, shared apartments (WGs), private apartments, subleases, and temporary rentals. Each option offers different advantages depending on budget, lifestyle preferences, and availability. Student dormitories are affordable and provide an opportunity to quickly connect with other students, while shared apartments allow for communal living at a lower cost. Private apartments offer more independence but are usually more expensive. Subleases are ideal for short-term stays, especially for students who are still exploring the city. Temporary housing is a flexible option for those who have not yet secured permanent accommodation.	Life in Germany/Nuremberg	
	Who is eligible to apply for student dormitories, and what advantages do they offer?	Student dormitories are available exclusively to students and offer several benefits, such as affordability and a sense of community. The rent is generally lower compared to private apartments, making it a budget-friendly choice. Additionally, most dormitories provide essential furnishings, including a bed, wardrobe, table, and chair, which simplifies the moving process, particularly for international students. Living in a student dormitory also facilitates social interaction with fellow students, helping newcomers adjust more easily to their new environment.	Life in Germany/Nuremberg	
	Who qualifies for student dormitory accommodation, and what benefits does it provide?	Student dormitories are available exclusively to students and offer several benefits, such as affordability and a sense of community. The rent is generally lower compared to private apartments, making it a budget-friendly choice. Additionally, most dormitories provide essential furnishings, including a bed, wardrobe, table, and chair, which simplifies the moving process, particularly for international students. Living in a student dormitory also facilitates social interaction with fellow students, helping newcomers adjust more easily to their new environment.	Life in Germany/Nuremberg	
